--------- beginning of system
08-27 07:00:13.637 W/Looper  (  506): Slow dispatch took 119ms android.fg h=android.os.Handler c=com.android.server.am.SameProcessApplicationThread$$ExternalSyntheticLambda1@dcd1df8 m=0
08-27 07:00:13.637 I/ActivityManager(  506): Posting BOOT_COMPLETED user #0
08-27 07:00:13.646 V/SystemServerTimingAsync(  506): ssm.onUnlockedUser-0_com.android.server.power.hint.HintManagerService took to complete: 0ms
08-27 07:00:13.646 D/SystemServerTimingAsync(  506): ssm.onUnlockedUser-0_com.android.server.recoverysystem.RecoverySystemService$Lifecycle
08-27 07:00:13.646 V/SystemServerTimingAsync(  506): ssm.onUnlockedUser-0_com.android.server.recoverysystem.RecoverySystemService$Lifecycle took to complete: 0ms
08-27 07:00:13.646 D/SystemServerTimingAsync(  506): ssm.onUnlockedUser-0_com.android.server.lights.LightsService
08-27 07:00:13.646 V/SystemServerTimingAsync(  506): ssm.onUnlockedUser-0_com.android.server.lights.LightsService took to complete: 0ms
08-27 07:00:13.646 D/SystemServerTimingAsync(  506): ssm.onUnlockedUser-0_com.android.server.display.DisplayManagerService
08-27 07:00:13.646 V/SystemServerTimingAsync(  506): ssm.onUnlockedUser-0_com.android.server.display.DisplayManagerService took to complete: 0ms
08-27 07:00:13.646 D/SystemServerTimingAsync(  506): ssm.onUnlockedUser-0_com.android.server.pm.verify.domain.DomainVerificationService
08-27 07:00:13.646 V/SystemServerTimingAsync(  506): ssm.onUnlockedUser-0_com.android.server.pm.verify.domain.DomainVerificationService took to complete: 0ms
08-27 07:00:13.646 D/SystemServerTimingAsync(  506): ssm.onUnlockedUser-0_com.android.server.pm.PackageInstallerService$Lifecycle
08-27 07:00:13.646 V/SystemServerTimingAsync(  506): ssm.onUnlockedUser-0_com.android.server.pm.PackageInstallerService$Lifecycle took to complete: 0ms
08-27 07:00:13.646 D/SystemServerTimingAsync(  506): ssm.onUnlockedUser-0_com.android.server.pm.UserManagerService$LifeCycle
08-27 07:00:13.646 V/SystemServerTimingAsync(  506): ssm.onUnlockedUser-0_com.android.server.pm.UserManagerService$LifeCycle took to complete: 0ms
08-27 07:00:13.646 D/SystemServerTimingAsync(  506): ssm.onUnlockedUser-0_com.android.server.om.OverlayManagerService
08-27 07:00:13.646 V/SystemServerTimingAsync(  506): ssm.onUnlockedUser-0_com.android.server.om.OverlayManagerService took to complete: 0ms
08-27 07:00:13.646 D/SystemServerTimingAsync(  506): ssm.onUnlockedUser-0_com.android.server.resources.ResourcesManagerService
08-27 07:00:13.646 V/SystemServerTimingAsync(  506): ssm.onUnlockedUser-0_com.android.server.resources.ResourcesManagerService took to complete: 0ms
08-27 07:00:13.646 D/SystemServerTimingAsync(  506): ssm.onUnlockedUser-0_com.android.server.sensorprivacy.SensorPrivacyService
08-27 07:00:13.646 V/SystemServerTimingAsync(  506): ssm.onUnlockedUser-0_com.android.server.sensorprivacy.SensorPrivacyService took to complete: 0ms
08-27 07:00:13.646 D/SystemServerTimingAsync(  506): ssm.onUnlockedUser-0_com.android.server.sensors.SensorService
08-27 07:00:13.646 V/SystemServerTimingAsync(  506): ssm.onUnlockedUser-0_com.android.server.sensors.SensorService took to complete: 0ms
08-27 07:00:13.646 D/SystemServerTimingAsync(  506): ssm.onUnlockedUser-0_com.android.server.SystemConfigService
08-27 07:00:13.646 V/SystemServerTimingAsync(  506): ssm.onUnlockedUser-0_com.android.server.SystemConfigService took to complete: 0ms
08-27 07:00:13.646 D/SystemServerTimingAsync(  506): ssm.onUnlockedUser-0_com.android.server.BatteryService
08-27 07:00:13.646 V/SystemServerTimingAsync(  506): ssm.onUnlockedUser-0_com.android.server.BatteryService took to complete: 0ms
08-27 07:00:13.646 D/SystemServerTimingAsync(  506): ssm.onUnlockedUser-0_com.android.server.usage.UsageStatsService
08-27 07:00:13.646 V/SystemServerTimingAsync(  506): ssm.onUnlockedUser-0_com.android.server.usage.UsageStatsService took to complete: 0ms
08-27 07:00:13.646 D/SystemServerTimingAsync(  506): ssm.onUnlockedUser-0_com.android.server.webkit.WebViewUpdateService
08-27 07:00:13.646 V/SystemServerTimingAsync(  506): ssm.onUnlockedUser-0_com.android.server.webkit.WebViewUpdateService took to complete: 0ms
08-27 07:00:13.646 D/SystemServerTimingAsync(  506): ssm.onUnlockedUser-0_com.android.server.CachedDeviceStateService
08-27 07:00:13.646 V/SystemServerTimingAsync(  506): ssm.onUnlockedUser-0_com.android.server.CachedDeviceStateService took to complete: 0ms
08-27 07:00:13.646 D/SystemServerTimingAsync(  506): ssm.onUnlockedUser-0_com.android.server.BinderCallsStatsService$LifeCycle
08-27 07:00:13.646 V/SystemServerTimingAsync(  506): ssm.onUnlockedUser-0_com.android.server.BinderCallsStatsService$LifeCycle took to complete: 0ms
08-27 07:00:13.646 D/SystemServerTimingAsync(  506): ssm.onUnlockedUser-0_com.android.server.LooperStatsService$Lifecycle
08-27 07:00:13.646 V/SystemServerTimingAsync(  506): ssm.onUnlockedUser-0_com.android.server.LooperStatsService$Lifecycle took to complete: 0ms
08-27 07:00:13.646 D/SystemServerTimingAsync(  506): ssm.onUnlockedUser-0_com.android.server.rollback.RollbackManagerService
08-27 07:00:13.646 V/SystemServerTimingAsync(  506): ssm.onUnlockedUser-0_com.android.server.rollback.RollbackManagerService took to complete: 0ms
08-27 07:00:13.646 D/SystemServerTimingAsync(  506): ssm.onUnlockedUser-0_com.android.server.os.NativeTombstoneManagerService
08-27 07:00:13.646 V/SystemServerTimingAsync(  506): ssm.onUnlockedUser-0_com.android.server.os.NativeTombstoneManagerService took to complete: 0ms
08-27 07:00:13.646 D/SystemServerTimingAsync(  506): ssm.onUnlockedUser-0_com.android.server.os.BugreportManagerService
08-27 07:00:13.646 V/SystemServerTimingAsync(  506): ssm.onUnlockedUser-0_com.android.server.os.BugreportManagerService took to complete: 0ms
08-27 07:00:13.646 D/SystemServerTimingAsync(  506): ssm.onUnlockedUser-0_com.android.server.gpu.GpuService
08-27 07:00:13.646 V/SystemServerTimingAsync(  506): ssm.onUnlockedUser-0_com.android.server.gpu.GpuService took to complete: 0ms
08-27 07:00:13.646 D/SystemServerTimingAsync(  506): ssm.onUnlockedUser-0_com.android.server.security.rkp.RemoteProvisioningService
08-27 07:00:13.646 V/SystemServerTimingAsync(  506): ssm.onUnlockedUser-0_com.android.server.security.rkp.RemoteProvisioningService took to complete: 0ms
08-27 07:00:13.646 D/SystemServerTimingAsync(  506): ssm.onUnlockedUser-0_com.android.server.cpu.CpuMonitorService
08-27 07:00:13.647 V/SystemServerTimingAsync(  506): ssm.onUnlockedUser-0_com.android.server.cpu.CpuMonitorService took to complete: 0ms
08-27 07:00:13.647 D/SystemServerTimingAsync(  506): ssm.onUnlockedUser-0_com.android.server.security.KeyChainSystemService
08-27 07:00:13.647 V/SystemServerTimingAsync(  506): ssm.onUnlockedUser-0_com.android.server.security.KeyChainSystemService took to complete: 0ms
08-27 07:00:13.647 D/SystemServerTimingAsync(  506): ssm.onUnlockedUser-0_com.android.server.BinaryTransparencyService
08-27 07:00:13.647 V/SystemServerTimingAsync(  506): ssm.onUnlockedUser-0_com.android.server.BinaryTransparencyService took to complete: 0ms
08-27 07:00:13.647 D/SystemServerTimingAsync(  506): ssm.onUnlockedUser-0_com.android.server.telecom.TelecomLoaderService
08-27 07:00:13.647 V/SystemServerTimingAsync(  506): ssm.onUnlockedUser-0_com.android.server.telecom.TelecomLoaderService took to complete: 0ms
08-27 07:00:13.647 D/SystemServerTimingAsync(  506): ssm.onUnlockedUser-0_com.android.server.accounts.AccountManagerService$Lifecycle
08-27 07:00:13.647 V/SystemServerTimingAsync(  506): ssm.onUnlockedUser-0_com.android.server.accounts.AccountManagerService$Lifecycle took to complete: 0ms
08-27 07:00:13.647 D/SystemServerTimingAsync(  506): ssm.onUnlockedUser-0_com.android.server.content.ContentService$Lifecycle
08-27 07:00:13.647 V/SystemServerTimingAsync(  506): ssm.onUnlockedUser-0_com.android.server.content.ContentService$Lifecycle took to complete: 0ms
08-27 07:00:13.647 D/SystemServerTimingAsync(  506): ssm.onUnlockedUser-0_com.android.server.deviceconfig.DeviceConfigInit$Lifecycle
08-27 07:00:13.647 V/SystemServerTimingAsync(  506): ssm.onUnlockedUser-0_com.android.server.deviceconfig.DeviceConfigInit$Lifecycle took to complete: 0ms
08-27 07:00:13.647 D/SystemServerTimingAsync(  506): ssm.onUnlockedUser-0_com.android.server.DropBoxManagerService
08-27 07:00:13.647 V/SystemServerTimingAsync(  506): ssm.onUnlockedUser-0_com.android.server.DropBoxManagerService took to complete: 0ms
08-27 07:00:13.647 D/SystemServerTimingAsync(  506): ssm.onUnlockedUser-0_com.android.role.RoleService
08-27 07:00:13.647 V/SystemServerTimingAsync(  506): ssm.onUnlockedUser-0_com.android.role.RoleService took to complete: 0ms
08-27 07:00:13.647 D/SystemServerTimingAsync(  506): ssm.onUnlockedUser-0_com.android.server.vibrator.VibratorManagerService$Lifecycle
08-27 07:00:13.647 V/SystemServerTimingAsync(  506): ssm.onUnlockedUser-0_com.android.server.vibrator.VibratorManagerService$Lifecycle took to complete: 0ms
08-27 07:00:13.647 D/SystemServerTimingAsync(  506): ssm.onUnlockedUser-0_com.android.server.tare.InternalResourceService
08-27 07:00:13.647 V/SystemServerTimingAsync(  506): ssm.onUnlockedUser-0_com.android.server.tare.InternalResourceService took to complete: 0ms
08-27 07:00:13.647 D/SystemServerTimingAsync(  506): ssm.onUnlockedUser-0_com.android.server.alarm.AlarmManagerService
08-27 07:00:13.647 V/SystemServerTimingAsync(  506): ssm.onUnlockedUser-0_com.android.server.alarm.AlarmManagerService took to complete: 0ms
08-27 07:00:13.647 D/SystemServerTimingAsync(  506): ssm.onUnlockedUser-0_com.android.server.devicestate.DeviceStateManagerService
08-27 07:00:13.647 V/SystemServerTimingAsync(  506): ssm.onUnlockedUser-0_com.android.server.devicestate.DeviceStateManagerService took to complete: 0ms
08-27 07:00:13.647 D/SystemServerTimingAsync(  506): ssm.onUnlockedUser-0_com.android.server.camera.CameraServiceProxy
08-27 07:00:13.647 V/SystemServerTimingAsync(  506): ssm.onUnlockedUser-0_com.android.server.camera.CameraServiceProxy took to complete: 0ms
08-27 07:00:13.647 D/SystemServerTimingAsync(  506): ssm.onUnlockedUser-0_com.android.server.bluetooth.BluetoothService
08-27 07:00:13.647 V/SystemServerTimingAsync(  506): ssm.onUnlockedUser-0_com.android.server.bluetooth.BluetoothService took to complete: 0ms
08-27 07:00:13.647 D/SystemServerTimingAsync(  506): ssm.onUnlockedUser-0_com.android.server.connectivity.IpConnectivityMetrics
08-27 07:00:13.647 V/SystemServerTimingAsync(  506): ssm.onUnlockedUser-0_com.android.server.connectivity.IpConnectivityMetrics took to complete: 0ms
08-27 07:00:13.647 D/SystemServerTimingAsync(  506): ssm.onUnlockedUser-0_com.android.server.net.watchlist.NetworkWatchlistService$Lifecycle
08-27 07:00:13.647 V/SystemServerTimingAsync(  506): ssm.onUnlockedUser-0_com.android.server.net.watchlist.NetworkWatchlistService$Lifecycle took to complete: 0ms
08-27 07:00:13.647 D/SystemServerTimingAsync(  506): ssm.onUnlockedUser-0_com.android.server.PinnerService
08-27 07:00:13.647 V/SystemServerTimingAsync(  506): ssm.onUnlockedUser-0_com.android.server.PinnerService took to complete: 0ms
08-27 07:00:13.647 D/SystemServerTimingAsync(  506): ssm.onUnlockedUser-0_com.android.server.integrity.AppIntegrityManagerService
08-27 07:00:13.647 V/SystemServerTimingAsync(  506): ssm.onUnlockedUser-0_com.android.server.integrity.AppIntegrityManagerService took to complete: 0ms
08-27 07:00:13.647 D/SystemServerTimingAsync(  506): ssm.onUnlockedUser-0_com.android.server.logcat.LogcatManagerService
08-27 07:00:13.647 V/SystemServerTimingAsync(  506): ssm.onUnlockedUser-0_com.android.server.logcat.LogcatManagerService took to complete: 0ms
08-27 07:00:13.647 D/SystemServerTimingAsync(  506): ssm.onUnlockedUser-0_com.android.server.inputmethod.InputMethodManagerService$Lifecycle
08-27 07:00:13.647 V/SystemServerTimingAsync(  506): ssm.onUnlockedUser-0_com.android.server.inputmethod.InputMethodManagerService$Lifecycle took to complete: 0ms
08-27 07:00:13.647 D/SystemServerTimingAsync(  506): ssm.onUnlockedUser-0_com.android.server.accessibility.AccessibilityManagerService$Lifecycle
08-27 07:00:13.647 V/SystemServerTimingAsync(  506): ssm.onUnlockedUser-0_com.android.server.accessibility.AccessibilityManagerService$Lifecycle took to complete: 0ms
08-27 07:00:13.648 D/SystemServerTimingAsync(  506): ssm.onUnlockedUser-0_com.android.server.StorageManagerService$Lifecycle
08-27 07:00:13.648 V/SystemServerTimingAsync(  506): ssm.onUnlockedUser-0_com.android.server.StorageManagerService$Lifecycle took to complete: 0ms
08-27 07:00:13.648 D/SystemServerTimingAsync(  506): ssm.onUnlockedUser-0_com.android.server.usage.StorageStatsService$Lifecycle
08-27 07:00:13.648 V/SystemServerTimingAsync(  506): ssm.onUnlockedUser-0_com.android.server.usage.StorageStatsService$Lifecycle took to complete: 0ms
08-27 07:00:13.648 D/SystemServerTimingAsync(  506): ssm.onUnlockedUser-0_com.android.server.UiModeManagerService
08-27 07:00:13.648 V/SystemServerTimingAsync(  506): ssm.onUnlockedUser-0_com.android.server.UiModeManagerService took to complete: 0ms
08-27 07:00:13.648 D/SystemServerTimingAsync(  506): ssm.onUnlockedUser-0_com.android.server.locales.LocaleManagerService
08-27 07:00:13.648 V/SystemServerTimingAsync(  506): ssm.onUnlockedUser-0_com.android.server.locales.LocaleManagerService took to complete: 0ms
08-27 07:00:13.648 D/SystemServerTimingAsync(  506): ssm.onUnlockedUser-0_com.android.server.grammaticalinflection.GrammaticalInflectionService
08-27 07:00:13.648 V/SystemServerTimingAsync(  506): ssm.onUnlockedUser-0_com.android.server.grammaticalinflection.GrammaticalInflectionService took to complete: 0ms
08-27 07:00:13.648 D/SystemServerTimingAsync(  506): ssm.onUnlockedUser-0_com.android.server.apphibernation.AppHibernationService
08-27 07:00:13.648 V/SystemServerTimingAsync(  506): ssm.onUnlockedUser-0_com.android.server.apphibernation.AppHibernationService took to complete: 0ms
08-27 07:00:13.648 D/SystemServerTimingAsync(  506): ssm.onUnlockedUser-0_com.android.server.locksettings.LockSettingsService$Lifecycle
08-27 07:00:13.648 V/SystemServerTimingAsync(  506): ssm.onUnlockedUser-0_com.android.server.locksettings.LockSettingsService$Lifecycle took to complete: 0ms
08-27 07:00:13.648 D/SystemServerTimingAsync(  506): ssm.onUnlockedUser-0_com.android.server.testharness.TestHarnessModeService
08-27 07:00:13.648 V/SystemServerTimingAsync(  506): ssm.onUnlockedUser-0_com.android.server.testharness.TestHarnessModeService took to complete: 0ms
08-27 07:00:13.648 D/SystemServerTimingAsync(  506): ssm.onUnlockedUser-0_com.android.server.DeviceIdleController
08-27 07:00:13.648 V/SystemServerTimingAsync(  506): ssm.onUnlockedUser-0_com.android.server.DeviceIdleController took to complete: 0ms
08-27 07:00:13.648 D/SystemServerTimingAsync(  506): ssm.onUnlockedUser-0_com.android.server.devicepolicy.DevicePolicyManagerService$Lifecycle
08-27 07:00:13.648 V/SystemServerTimingAsync(  506): ssm.onUnlockedUser-0_com.android.server.devicepolicy.DevicePolicyManagerService$Lifecycle took to complete: 0ms
08-27 07:00:13.648 D/SystemServerTimingAsync(  506): ssm.onUnlockedUser-0_com.android.server.texttospeech.TextToSpeechManagerService
08-27 07:00:13.648 V/SystemServerTimingAsync(  506): ssm.onUnlockedUser-0_com.android.server.texttospeech.TextToSpeechManagerService took to complete: 0ms
08-27 07:00:13.648 D/SystemServerTimingAsync(  506): ssm.onUnlockedUser-0_com.android.server.ambientcontext.AmbientContextManagerService
08-27 07:00:13.648 V/SystemServerTimingAsync(  506): ssm.onUnlockedUser-0_com.android.server.ambientcontext.AmbientContextManagerService took to complete: 0ms
08-27 07:00:13.648 D/SystemServerTimingAsync(  506): ssm.onUnlockedUser-0_com.android.server.wearable.WearableSensingManagerService
08-27 07:00:13.648 V/SystemServerTimingAsync(  506): ssm.onUnlockedUser-0_com.android.server.wearable.WearableSensingManagerService took to complete: 0ms
08-27 07:00:13.648 D/SystemServerTimingAsync(  506): ssm.onUnlockedUser-0_com.android.server.speech.SpeechRecognitionManagerService
08-27 07:00:13.648 V/SystemServerTimingAsync(  506): ssm.onUnlockedUser-0_com.android.server.speech.SpeechRecognitionManagerService took to complete: 0ms
08-27 07:00:13.648 D/SystemServerTimingAsync(  506): ssm.onUnlockedUser-0_com.android.server.searchui.SearchUiManagerService
08-27 07:00:13.648 V/SystemServerTimingAsync(  506): ssm.onUnlockedUser-0_com.android.server.searchui.SearchUiManagerService took to complete: 0ms
08-27 07:00:13.648 D/SystemServerTimingAsync(  506): ssm.onUnlockedUser-0_com.android.server.smartspace.SmartspaceManagerService
08-27 07:00:13.648 V/SystemServerTimingAsync(  506): ssm.onUnlockedUser-0_com.android.server.smartspace.SmartspaceManagerService took to complete: 0ms
08-27 07:00:13.648 D/SystemServerTimingAsync(  506): ssm.onUnlockedUser-0_com.android.server.graphics.fonts.FontManagerService$Lifecycle
08-27 07:00:13.648 V/SystemServerTimingAsync(  506): ssm.onUnlockedUser-0_com.android.server.graphics.fonts.FontManagerService$Lifecycle took to complete: 0ms
08-27 07:00:13.648 D/SystemServerTimingAsync(  506): ssm.onUnlockedUser-0_com.android.server.textservices.TextServicesManagerService$Lifecycle
08-27 07:00:13.648 V/SystemServerTimingAsync(  506): ssm.onUnlockedUser-0_com.android.server.textservices.TextServicesManagerService$Lifecycle took to complete: 0ms
08-27 07:00:13.648 D/SystemServerTimingAsync(  506): ssm.onUnlockedUser-0_com.android.server.textclassifier.TextClassificationManagerService$Lifecycle
08-27 07:00:13.648 V/SystemServerTimingAsync(  506): ssm.onUnlockedUser-0_com.android.server.textclassifier.TextClassificationManagerService$Lifecycle took to complete: 0ms
08-27 07:00:13.648 D/SystemServerTimingAsync(  506): ssm.onUnlockedUser-0_com.android.server.NetworkScoreService$Lifecycle
08-27 07:00:13.654 D/StatusBarIconController(  800): ignoring old pipeline callback because the new wifi icon is enabled
08-27 07:00:13.654 V/SystemServerTimingAsync(  506): ssm.onUnlockedUser-0_com.android.server.NetworkScoreService$Lifecycle took to complete: 0ms
08-27 07:00:13.654 D/SystemServerTimingAsync(  506): ssm.onUnlockedUser-0_com.android.server.NetworkStatsServiceInitializer
08-27 07:00:13.654 V/SystemServerTimingAsync(  506): ssm.onUnlockedUser-0_com.android.server.NetworkStatsServiceInitializer took to complete: 0ms
08-27 07:00:13.654 D/SystemServerTimingAsync(  506): ssm.onUnlockedUser-0_com.android.server.wifi.WifiService
08-27 07:00:13.654 V/SystemServerTimingAsync(  506): ssm.onUnlockedUser-0_com.android.server.wifi.WifiService took to complete: 0ms
08-27 07:00:13.654 D/SystemServerTimingAsync(  506): ssm.onUnlockedUser-0_com.android.server.wifi.scanner.WifiScanningService
08-27 07:00:13.654 V/SystemServerTimingAsync(  506): ssm.onUnlockedUser-0_com.android.server.wifi.scanner.WifiScanningService took to complete: 0ms
08-27 07:00:13.654 D/SystemServerTimingAsync(  506): ssm.onUnlockedUser-0_com.android.server.wifi.p2p.WifiP2pService
08-27 07:00:13.655 V/SystemServerTimingAsync(  506): ssm.onUnlockedUser-0_com.android.server.wifi.p2p.WifiP2pService took to complete: 0ms
08-27 07:00:13.655 D/SystemServerTimingAsync(  506): ssm.onUnlockedUser-0_com.android.server.ConnectivityServiceInitializer
08-27 07:00:13.655 V/SystemServerTimingAsync(  506): ssm.onUnlockedUser-0_com.android.server.ConnectivityServiceInitializer took to complete: 0ms
08-27 07:00:13.655 D/SystemServerTimingAsync(  506): ssm.onUnlockedUser-0_com.android.server.notification.NotificationManagerService
08-27 07:00:13.655 V/SystemServerTimingAsync(  506): ssm.onUnlockedUser-0_com.android.server.notification.NotificationManagerService took to complete: 0ms
08-27 07:00:13.655 D/SystemServerTimingAsync(  506): ssm.onUnlockedUser-0_com.android.server.storage.DeviceStorageMonitorService
08-27 07:00:13.655 V/SystemServerTimingAsync(  506): ssm.onUnlockedUser-0_com.android.server.storage.DeviceStorageMonitorService took to complete: 0ms
08-27 07:00:13.655 D/SystemServerTimingAsync(  506): ssm.onUnlockedUser-0_com.android.server.timedetector.TimeDetectorService$Lifecycle
08-27 07:00:13.655 V/SystemServerTimingAsync(  506): ssm.onUnlockedUser-0_com.android.server.timedetector.TimeDetectorService$Lifecycle took to complete: 0ms
08-27 07:00:13.655 D/SystemServerTimingAsync(  506): ssm.onUnlockedUser-0_com.android.server.location.LocationManagerService$Lifecycle
08-27 07:00:13.655 V/SystemServerTimingAsync(  506): ssm.onUnlockedUser-0_com.android.server.location.LocationManagerService$Lifecycle took to complete: 0ms
08-27 07:00:13.655 D/SystemServerTimingAsync(  506): ssm.onUnlockedUser-0_com.android.server.timezonedetector.TimeZoneDetectorService$Lifecycle
08-27 07:00:13.655 V/SystemServerTimingAsync(  506): ssm.onUnlockedUser-0_com.android.server.timezonedetector.TimeZoneDetectorService$Lifecycle took to complete: 0ms
08-27 07:00:13.655 D/SystemServerTimingAsync(  506): ssm.onUnlockedUser-0_com.android.server.location.altitude.AltitudeService$Lifecycle
08-27 07:00:13.655 V/SystemServerTimingAsync(  506): ssm.onUnlockedUser-0_com.android.server.location.altitude.AltitudeService$Lifecycle took to complete: 0ms
08-27 07:00:13.655 D/SystemServerTimingAsync(  506): ssm.onUnlockedUser-0_com.android.server.timezonedetector.location.LocationTimeZoneManagerService$Lifecycle
08-27 07:00:13.655 V/SystemServerTimingAsync(  506): ssm.onUnlockedUser-0_com.android.server.timezonedetector.location.LocationTimeZoneManagerService$Lifecycle took to complete: 0ms
08-27 07:00:13.655 D/SystemServerTimingAsync(  506): ssm.onUnlockedUser-0_com.android.server.search.SearchManagerService$Lifecycle
08-27 07:00:13.655 V/SystemServerTimingAsync(  506): ssm.onUnlockedUser-0_com.android.server.search.SearchManagerService$Lifecycle took to complete: 0ms
08-27 07:00:13.655 D/SystemServerTimingAsync(  506): ssm.onUnlockedUser-0_com.android.server.wallpaper.WallpaperManagerService$Lifecycle
08-27 07:00:13.655 V/SystemServerTimingAsync(  506): ssm.onUnlockedUser-0_com.android.server.wallpaper.WallpaperManagerService$Lifecycle took to complete: 0ms
08-27 07:00:13.655 I/NoBackGesture(  800): NavbarController: newConfig={1.0 310mcc260mnc [en_US] ldltr sw411dp w411dp h818dp 420dpi nrml long port finger qwerty/v/v -nav/h winConfig={ mBounds=Rect(0, 0 - 1080, 2400) mAppBounds=Rect(0, 128 - 1080, 2274) mMaxBounds=Rect(0, 0 - 1080, 2400) mDisplayRotation=ROTATION_0 mWindowingMode=fullscreen mDisplayWindowingMode=fullscreen mActivityType=undefined mAlwaysOnTop=undefined mRotation=ROTATION_0} as.3 s.116 fontWeightAdjustment=0} mTaskbarDelegate initialized=false willApplyConfigToNavbars=false navBarCount=1
08-27 07:00:13.655 D/SystemServerTimingAsync(  506): ssm.onUnlockedUser-0_com.android.server.wallpapereffectsgeneration.WallpaperEffectsGenerationManagerService
08-27 07:00:13.655 V/SystemServerTimingAsync(  506): ssm.onUnlockedUser-0_com.android.server.wallpapereffectsgeneration.WallpaperEffectsGenerationManagerService took to complete: 0ms
08-27 07:00:13.655 D/SystemServerTimingAsync(  506): ssm.onUnlockedUser-0_com.android.server.audio.AudioService$Lifecycle
